               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023042,            0.021831,            0.025839,            0.061971,                   0,                   0,                   0,                   0,            0.020034,           0.0098383,            0.028938,            0.067989,           0.0033309,           0.0033309,            0.070022
                   1,             0.01574,           0.0099502,            0.024421,            0.059468,                   0,                   0,                   0,                   0,            0.018742,           0.0075168,            0.028311,            0.067082,           0.0065338,           0.0065338,            0.039891
                   2,            0.015448,           0.0084153,            0.024235,            0.059794,                   0,                   0,                   0,                   0,            0.019816,           0.0074528,            0.028047,            0.066915,           0.0092338,           0.0092338,           0.0092581
                   3,            0.014735,           0.0081161,            0.024038,            0.060535,            0.027191,            0.098667,            0.037845,            0.020622,            0.018149,           0.0084398,            0.027418,            0.066933,           0.0083511,           0.0083511,           0.0083511
                   4,            0.013552,           0.0078852,            0.023336,            0.059303,             0.61018,             0.12316,            0.057173,            0.021088,            0.015463,           0.0076453,            0.026996,            0.066709,           0.0083511,           0.0083511,           0.0083511
                   5,            0.012882,           0.0073497,             0.02259,            0.058106,             0.31068,             0.25177,            0.059526,            0.025116,            0.015695,           0.0090928,            0.027301,            0.066747,           0.0072361,           0.0072361,           0.0072361
                   6,            0.012705,           0.0071874,            0.023344,            0.060808,            0.024864,             0.27733,            0.055368,             0.02885,            0.015555,           0.0074287,            0.027855,            0.066716,               0.006,               0.006,               0.006
                   7,            0.012059,            0.007313,            0.022665,            0.059353,             0.48448,             0.21154,            0.074645,            0.036476,            0.014379,           0.0065135,            0.027183,            0.066656,           0.0047639,           0.0047639,           0.0047639
                   8,             0.01167,           0.0071969,            0.022308,            0.059294,             0.73775,              0.1277,            0.096415,            0.039705,            0.013613,           0.0065306,              0.0266,            0.066592,           0.0036489,           0.0036489,           0.0036489
                   9,            0.011408,           0.0070353,            0.022008,            0.059289,             0.11823,             0.31133,             0.10096,            0.051126,            0.014432,           0.0063912,            0.026698,            0.066576,           0.0027639,           0.0027639,           0.0027639
